Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
poems-prayers-matthew-mcconaughey,Poems & Prayers by Matthew McConaughey,Title,Default Title,,,,,book-McConaughey-Poems-Prayers,,,Underground Sports Shop,,0,0,0,609,609,
nsls-general-awareness-brochure,NSLS General Awareness Brochure (Batch of 25),Title,Default Title,,,,,General-Awareness-Brochure,,,Underground Sports Shop,,not stocked,not stocked,not stocked,not stocked,not stocked,
nsls-challenge-coin-1,NSLS Challenge Coin - Summit,Title,Default Title,,,,,nsls-coin,,,Underground Sports Shop,,not stocked,not stocked,not stocked,not stocked,not stocked,
nsls-embroidered-patch-copy,NSLS Embroidered Patch - Summit,Title,Default Title,,,,,patch,,,Underground Sports Shop,,not stocked,not stocked,not stocked,not stocked,not stocked,
nsls-tumbler-24-oz-copy,"NSLS Tumbler, 24 oz - Summit",Title,Default Title,,,,,Tumbler,,,Underground Sports Shop,,not stocked,not stocked,not stocked,not stocked,not stocked,
sticker-i-heart-the-nsls-copy,I Heart the NSLS Sticker - Summit,Title,Default Title,,,,,i-heart-nsls,,,Underground Sports Shop,,not stocked,not stocked,not stocked,not stocked,not stocked,
nsls-car-decal-copy,NSLS Car Decal - Summit,Title,Default Title,,,,,decal,,,Underground Sports Shop,,not stocked,not stocked,not stocked,not stocked,not stocked,
nsls-license-plate-holder-copy,License Plate Holder - Summit,Title,Default Title,,,,,License-Plate,,,Underground Sports Shop,,not stocked,not stocked,not stocked,not stocked,not stocked,
new-era®-pom-pom-cuffed-beanie-copy,New Era® Pom Pom Cuffed Beanie- Summit,Design,Greek Letters,,,,,greek,,,Underground Sports Shop,,not stocked,not stocked,not stocked,not stocked,not stocked,
new-era®-pom-pom-cuffed-beanie-copy,New Era® Pom Pom Cuffed Beanie- Summit,Design,NSLS,,,,,nsls,,,Underground Sports Shop,,not stocked,not stocked,not stocked,not stocked,not stocked,
new-era®-pom-pom-cuffed-beanie-copy,New Era® Pom Pom Cuffed Beanie- Summit,Design,Logo Seal,,,,,logo,,,Underground Sports Shop,,not stocked,not stocked,not stocked,not stocked,not stocked,
nsls-greek-letter-caps-copy,NSLS Cap - Greek Letters,Title,Default Title,,,,,grey,,,Underground Sports Shop,,not stocked,not stocked,not stocked,not stocked,not stocked,
nsls-letters-snapback-cap-copy,NSLS Cap - Letters,Title,Default Title,,,,,nsls-cap,,,Underground Sports Shop,,not stocked,not stocked,not stocked,not stocked,not stocked,
nsls-seal-snapback-cap-copy,NSLS Cap - Seal,Title,Default Title,,,,,seal-cap,,,Underground Sports Shop,,not stocked,not stocked,not stocked,not stocked,not stocked,
nsls-embroidered-patch-copy-1,Summit Drawstring Bag,Title,Default Title,,,,,summit-bag,,,Underground Sports Shop,,not stocked,not stocked,not stocked,not stocked,not stocked,
